product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
33654066,Animal Printed Compression T-shirt,Musclemind,2899,https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png,"Product Details Brown Tshirt for menAnimal printedRegular lengthRound neckShort, raglan sleevesKnitted blended fabricSize & FitCompression  The model (height 6') is wearing a size MMaterial & CareBlendedMachine WashSpecificationsFabricBLENDEDFabric 2PolyesterFabric 3ElastaneFitCompressionLengthRegularMain TrendAnimal GraphicMultipack SetSingleNeckRound NeckSee More",N/A,In Stock,S | M | L | XL | XXL,N/A,Polyester,Men T-Shirts 1,https://www.myntra.com/tshirts/musclemind/musclemind-animal-printed-compression-t-shirt/33654066/buy
21881118,Polo Collar Slim Fit Pure Cotton T-shirt,THE BEAR HOUSE,638,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/13/B3aaVrlX_293d97621d514e22acf2e88a4c05de43.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/12221548/2020/9/16/e86ceef9-bd69-4e23-87ad-b902cc36290c1600239293125-THE-BEAR-HOUSE-Men-Purple-Solid-Polo-Collar-T-shirt-71616002-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/12819928/2020/12/8/13efe40a-11e9-4ac9-8f4f-90804086ceff1607406261629-THE-BEAR-HOUSE-Men-Rust-Brown-Solid-Polo-Collar-T-shirt-5501-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/13517518/2021/2/19/7b25024a-18a7-4945-b4db-c87cac8a82391613731123013-THE-BEAR-HOUSE-Men-Green-Solid-Polo-Collar-T-shirt-362161373-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/13517524/2021/2/19/f3413235-5336-4580-8f92-ac9c64293cf61613731132518-THE-BEAR-HOUSE-Men-Solid-Blue-Polo-Collar-T-shirt-5801613731-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/13517530/2021/2/19/eb790479-c46d-4428-ae29-763e3121d0031613731153396-THE-BEAR-HOUSE-Men-Pink-Solid-Polo-Collar-T-shirt-4561613731-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/15615202/2024/1/19/3b97347f-7b4d-41e9-a472-dda03dc031f51705648283097THEBEARHOUSEMenTealBluePoloCollarSlimFitCottonPureCottonT-sh1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/15615204/2021/10/11/50f38839-fa5b-40ef-8e8d-9154f4c2b8a01633948375119-THE-BEAR-HOUSE-Men-Tshirts-1541633948374761-1.jpg","Product Details   Green Tshirt for men   Solid   Regular length   Polo collar   Short,  regular sleeves   Knitted cotton fabric   Button closure  Size & FitSlim FitSize worn by the model: MChest: 40""Height: 6'2""Material & Care100% CottonMachine WashSpecificationsClosureButtonFabricCottonFitSlim FitLengthRegularMain TrendKnitsMultipack SetSingleNeckPolo CollarOccasionCasualSee More",4.4|352 Ratings,In Stock,S | M | L | XXL | 3XL,Slim Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/the+bear+house/the-bear-house-polo-collar-slim-fit-pure-cotton-t-shirt/21881118/buy
12504566,Men White  Mustard Yellow Colourblocked Round Neck Pure Cotton T-shirt,Roadster,339,"https://assets.myntassets.com/assets/images/12504566/2021/2/15/7dbb9991-14bc-4853-a55d-615045783af71613373061505-Roadster-Men-Tshirts-3551613373060033-5.jpg?im=Crop,rect=(486,1181,162,173)|https://assets.myntassets.com/assets/images/12504566/2021/2/15/7dbb9991-14bc-4853-a55d-615045783af71613373061505-Roadster-Men-Tshirts-3551613373060033-5.jpg?im=Crop,rect=(508,663,389,619)|https://assets.myntassets.com/assets/images/12504566/2021/2/15/7dbb9991-14bc-4853-a55d-615045783af71613373061505-Roadster-Men-Tshirts-3551613373060033-5.jpg?im=Crop,rect=(573,159,367,403)|https://assets.myntassets.com/assets/images/12504566/2021/2/15/7dbb9991-14bc-4853-a55d-615045783af71613373061505-Roadster-Men-Tshirts-3551613373060033-5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/17230714/2022/2/21/68955850-cbba-4f20-ac43-8464a4f1e8151645440274968TrackPants1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19650572/2023/2/23/abe94802-b659-4aa1-8de9-a920ad4e599d1677137189891-Keviv-Men-Blue-Leather-Two-Fold-Wallet-6321677137189422-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/productimage/2020/9/18/81d70965-c4e6-448a-ae5c-f8d4c9d70a6f1600383703425-7.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/22986876/2025/3/20/b4c50ee6-d851-443d-9c32-faa5ac7704701742451975619-LUX-NITRO-Pack-Of-2-Anti-Odour-Lounge-T-shirt-89617424519750-1.jpg","Product Details White and Mustard yellow colourblocked T-shirt, has a round neck, and short sleevesSize & FitThe model (height 6') is wearing a size MMaterial & CareMaterial: 100% cottonMachine WashSpecificationsFabricPure CottonFitRegular FitLengthRegularMain TrendColourblockedMultipack SetSingleNeckRound NeckOccasionCasualPatternColourblockedSee More",4.2|7.2k Ratings,In Stock,S | M | L | XL,Regular Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/roadster/roadster-men-white--mustard-yellow-colourblocked-round-neck-pure-cotton-t-shirt/12504566/buy
31598708,Unisex Typography Printed Drop-Shoulder Sleeves Pure Cotton T-shirt,Flying Machine,824,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18667098/2022/8/30/4d5215d5-2b2d-442c-8b35-35cbe93c9a431661838662561-Reebok-Classic-Unisex-Black-Brand-Logo-Printed-Pure-Cotton-T-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32299911/2025/1/10/72b71f02-2f34-4455-a7c7-e256d4c4413e1736507372348COLORCAPITALUnisexTypographyPrintedExtendedSleevesAppliqueT-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/8/JFxdqqFE_f0ebc0f146b9487baab2d2cc7ba5c3dc.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23989782/2023/7/12/56b6c11e-da1e-43ce-bf05-c7952b4a28031689170277828AeroArmourUnisexBlackPrintedAppliqueT-shirt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28936322/2024/4/16/6765dd26-1dac-46af-85da-497a92c8ee981713255762263COLORCAPITALUnisexPrintedRawEdgeT-shirt1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Purple T-shirt for unisexTypography printedRegular lengthRound neckShort, drop-shoulder sleevesKnitted pure cotton fabricDisclaimer: This is a unisex T-shirt, shot on menSize & FitRelaxed Fit  The model (height 6') is wearing a size MMaterial & Care100% CottonMachine WashSpecificationsFabricPure CottonFitRelaxed FitLengthRegularMain TrendTypography or Slogan PrintMultipack SetSingleNeckRound NeckNet Quantity UnitPieceNumber of Items1See More",N/A,In Stock,S | M | L | XL | XXL,Relaxed Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/flying+machine/flying-machine-unisex-typography-printed-drop-shoulder-sleeves-pure-cotton-t-shirt/31598708/buy
30850259,Men Brand Logo Printed Slim Fit Polo Collar Cotton T-shirt,Puma,679,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/w3vWDiny_b9a1825d832f446fba5097ffb1e9cf4f.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/zGbkzJYn_076b280e52f2432b9a76c7dd5aebc3b5.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/1H4ZSyxf_99731a4636ec4bc29d276a4c224547d9.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/O8UxJKth_e8171a85b3394d5bb212dd4926d9582e.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/PmwOXbtN_bc411396a18745ee90964498ccbde7fa.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/GGV9ztbe_7aff42bf89fe4a86900aa236c187fbbc.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/ddFk520u_62b7234000b14ccfabca270585af2e5c.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/iE2ey9bX_5ad7ed1b902a49398e3823eae0c579e3.jpg","Product Details Product Design Details:Product Colour: BluePattern: SolidFit: Slim fitNeck: Polo collarButton closureAbout The Product:Step up your game with the Essentials Men's Polo T-shirt from PUMAWith ribbed collar and a classic cat logo branding, this polo offers both style and function for your next sporting event or casual outingThe breathable fabric keeps you cool and comfortable, while the sleek design ensures you look your best both on and off the fieldSize & FitSlim-FitThe model (height 6') is wearing a size MMaterial & CareCottonMachine washUse Only Mild DetergentWash with similar colourSpecificationsClosureButtonFabricCottonFitSlim FitLengthRegularMain TrendNew BasicsMultipack SetSingleNeckPolo CollarNumber of Items1See More",4.4|222 Ratings,In Stock,XS | S | M | L | XL | XXL,Slim Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/puma/puma-men-brand-logo-printed-slim-fit-polo-collar-cotton-t-shirt/30850259/buy
22492582,Men Embroidered Logo Pure Cotton Lightweight Lounge T-shirt,U.S. Polo Assn.,545,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/14112808/2021/6/28/b385d7b8-63fb-41f4-8da1-b37796f6b17c1624864495240-US-Polo-Assn-Men-Lounge-Tshirts-231624864494657-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/17157436/2022/11/28/b69e81b0-3d39-4b62-a104-46a29f5c70f21669612004687-U-S-Polo-Assn-Men-Blue-Cotton-T-shirt-7731669612004462-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/22492588/2023/3/24/ef4b2f02-ee45-42de-9763-a77a647d5ced1679647401005USPoloAssnCrewNeckEmbroideredLogoI633LoungeT-Shirt-PackOf1CI1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/22492592/2023/11/20/b8cc4bb4-4381-42e7-81c1-961f53c15e401700479573057USPoloAssnMenPureCottonLightweightLoungeT-shirt1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/22492596/2023/11/7/a4bbe00f-fdcb-4eb6-b24f-8642efbaa3b01699350803005USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/22492612/2023/3/24/87843c94-83cc-4de2-9d60-8836ea7a86d21679637555140USPoloAssnCrewNeckEmbroideredLogoI633LoungeT-Shirt-PackOf1FI1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/22492640/2023/11/20/1a86b5b5-2fab-4610-aa1e-0b59029f5be31700479590695USPoloAssnEmbroideredLogoPureCottonLoungeT-shirts1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2465161/2023/5/19/a4cae75b-388e-4bd3-a7b8-a1b60e988abb1684486756280-US-Polo-Assn-Grey-Solid-Lounge-T-Shirt-2471684486755945-1.jpg","Product Details Pack of 1 blue lounge T-shirt, has a round neck, short sleevesShort sleeves for easy and unrestricted movementThe pure cotton fabric has better breathability and absorbencyKnit construction ensures the material is lightweight and comfortableFeatures:Ribbed crew neck ensures shape retention that withstands repeated wash and wearShort sleeves for easy and unrestricted movementMinimal logo at the chest provides signature brandingThe product is tagless to provide a smooth surface and minimises any irritationThe versatile solid pattern works with all outfitsKnit construction ensures the material is lightweight and comfortableThe comfort fit ensures you have more space in the chest and torso areaSize & FitThe model (height 6') is wearing a size SMaterial & CarePure Cotton  Machine WashSpecificationsFabricCottonNeckRound NeckPatternSolidSleeve LengthShort SleevesSustainableRegularTypeRegularWash CareMachine Wash",4.3|966 Ratings,In Stock,S | M | L | XL | XXL,Comfort Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-men-embroidered-logo-pure-cotton-lightweight-lounge-t-shirt/22492582/buy
30850260,Men Slim Fit Polo T-shirt,Puma,679,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/w3vWDiny_b9a1825d832f446fba5097ffb1e9cf4f.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/nbYo2Qnf_837bb796a67e4349b1ef4343bfb76a55.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/1H4ZSyxf_99731a4636ec4bc29d276a4c224547d9.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/O8UxJKth_e8171a85b3394d5bb212dd4926d9582e.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/PmwOXbtN_bc411396a18745ee90964498ccbde7fa.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/GGV9ztbe_7aff42bf89fe4a86900aa236c187fbbc.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/ddFk520u_62b7234000b14ccfabca270585af2e5c.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/iE2ey9bX_5ad7ed1b902a49398e3823eae0c579e3.jpg","Product Details Product Design Details:Product Color: BluePattern: Brand Logo printedFit: Slim fitNeck: Polo neckButton closureGraphic PUMA Wordmark rubber print on chestAbout The Product:Step up your game with the Essentials Men's Polo T-shirt from PUMA. With ribbed collar and a classic cat logo branding, this polo offers both style and function for your next sporting event or casual outing. The breathable fabric keeps you cool and comfortable, while the sleek design ensures you look your best both on and off the field.Details : Ribbed collar, Front button placket, Slim fit, PUMA Cat logo at chest.Size & FitSlim fitThe model (height 6') is wearing a size XSMaterial & CareCottonClose All FasteningsUse Only Mild DetergentWash with similar colorSpecificationsClosureButtonFabricCottonFitSlim FitLengthRegularMain TrendNew BasicsMultipack SetSingleNeckPolo CollarNumber of Items1See More",4.5|290 Ratings,In Stock,XS | S | M | L | XL | XXL,Slim Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/puma/puma-men-slim-fit-polo-t-shirt/30850260/buy
31636877,Outline Graphic Men Slim Fit Tee,Puma,639,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/NOVEMBER/15/DgidgLKe_6515b274599d45a989ba1bcd99ca408c.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/9168701/2020/8/19/c708e8c0-b46e-42d6-bbd5-a3e05528f8de1597813981869USPoloAssnMenNavyBlueWhitePrintedRoundNeckAthleisureT-shirt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/16/pb83TyQI_6d48b7fe7cde40158673a2c666a53d11.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/13/bCFnWPiy_45e3f804de2947d49a0ccc9db744607d.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/17003018/2022/2/1/941d11b1-a7e9-4ce9-8855-8f672ca50a851643702477005TrackPants1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/22243670/2023/3/6/8f9145a5-c584-492f-a361-4c0411aaef551678108357096ReebokBrandLogoPrintedRegularWaterBottle1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Special Technologies:Recycled Content: Made with at least 20% recycled cottonProduct Design Details:Product Color: BlackPattern: Graphic-printedFit: Regular fitNeck: Crew neckSlip-on closureGraphic PUMA Cat logo printAbout The Product:Whether lounging or lunging, the Outline Graphic Tee redefines casual wear. Perfectly versatile, it transitions effortlessly from couch to gym. The tshirt's crowning glory is its bold logo print on the chest, ensuring you're always in style. Made with breathable cotton, not only does it look good on you, but it also feels good.Size & FitSlim fitThe model (height 6') is wearing a size MMaterial & CareCottonClose All Fastenings; Use Only Mild Detergent; Wash with similar colorSpecificationsFabricCottonFitSlim FitLengthRegularMain TrendNew BasicsMultipack SetSingleNeckRound NeckNumber of Items1OccasionCasualSee More",4.3|112 Ratings,In Stock,XS | S | M | L | XL | XXL | 3XL,Slim Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/puma/puma-outline-graphic-men-slim-fit-tee/31636877/buy
33106544,Unisex Printed Chennai Super Kings V-Neck T-shirt,playR,959,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29856932/2024/10/25/c489ad3f-c5e5-472a-85cc-ebc9d2c1e7e81729835034824-Bene-Kleed-Unisex-White-Pride-Typography-Printed-Pure-Cotton-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30106191/2024/9/14/8689c3f3-4c24-4721-90a1-3db3f1fb73721726297023559-ADIDAS-Originals-Unisex-Tshirts-7301726297023091-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25640996/2023/10/26/3d1f793d-8346-40f4-b09c-e17a51b3fadb1698332558538AeroArmourUnisexOliveGreenTypographyPrintedAppliqueT-shirt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/25/iM0wHqHB_268b3ab227d04c299beb1ab7157107eb.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/3/GBDWEi4K_20cba3f4a5094e77a4f9722f12ae38ff.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details   Yellow and navy blue Tshirt for unisex   Sports and team jersey printed   Regular length   V-neck   Short,  regular sleeves   Woven polyester fabric  Size & FitRegular Fit  The model (height 6') is wearing a size MMaterial & Care100% PolyesterMachine-washSpecificationsCare for meFollow the garment wash care label
Can be tumble dried in a cool setting if machine washed
Prevent static build-up by drying while damp
Use low heat to ironFabricPolyesterFitRegular FitLengthRegularMain TrendTypography or Slogan PrintMultipack SetSingleNeckV-NeckNet Quantity UnitPieceSee More",3.9|34 Ratings,In Stock,S | M | L | XXL | 3XL,Regular Fit,Polyester,Men T-Shirts 1,https://www.myntra.com/tshirts/playr/playr-unisex-printed-chennai-super-kings-v-neck-t-shirt/33106544/buy
30850262,Men Brand Logo Printed Slim Fit Polo Collar Cotton T-shirt,Puma,679,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/w3vWDiny_b9a1825d832f446fba5097ffb1e9cf4f.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/nbYo2Qnf_837bb796a67e4349b1ef4343bfb76a55.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/zGbkzJYn_076b280e52f2432b9a76c7dd5aebc3b5.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/1H4ZSyxf_99731a4636ec4bc29d276a4c224547d9.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/PmwOXbtN_bc411396a18745ee90964498ccbde7fa.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/GGV9ztbe_7aff42bf89fe4a86900aa236c187fbbc.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/ddFk520u_62b7234000b14ccfabca270585af2e5c.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/7/iE2ey9bX_5ad7ed1b902a49398e3823eae0c579e3.jpg","Product Details Product Design Details:Product Colour: WhitePattern: Brand Logo printedFit: Slim fitNeck: Polo neckButton closureGraphic PUMA Wordmark rubber print on chestAbout The Product:Step up your game with the Essentials Men's Polo T-shirt from PUMA. With ribbed collar and a classic cat logo branding, this polo offers both style and function for your next sporting event or casual outing. The breathable fabric keeps you cool and comfortable, while the sleek design ensures you look your best both on and off the field.Details : Ribbed collar, Front button placket, Slim fit, PUMA Cat logo at chest.Size & FitSlim fitThe model (height 6') is wearing a size MMaterial & CareCottonMachine washClose All FasteningsUse Only Mild DetergentWash with similar colourSpecificationsClosureButtonFabricCottonFitSlim FitLengthRegularMain TrendNew BasicsMultipack SetSingleNeckPolo CollarNumber of Items1See More",4.3|414 Ratings,In Stock,XS | S | M | L | XL | XXL,Slim Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/puma/puma-men-brand-logo-printed-slim-fit-polo-collar-cotton-t-shirt/30850262/buy
33654061,Compression Round Neck T-shirt,Musclemind,2899,https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png,"Product Details White Tshirt for menSolidRegular lengthRound neckShort, raglan sleevesKnitted blended fabricSize & FitCompression  The model (height 6') is wearing a size MMaterial & CarePolyester Machine WashSpecificationsFabricBLENDEDFabric 2PolyesterFabric 3ElastaneFitCompressionLengthRegularMain TrendNew BasicsMultipack SetSingleNeckRound NeckSee More",N/A,In Stock,S | M | L | XL | XXL,N/A,Polyester,Men T-Shirts 1,https://www.myntra.com/tshirts/musclemind/musclemind-compression-round-neck-t-shirt/33654061/buy
4149416,Men White Striped Polo Collar T-shirt,Mast & Harbour,324,"https://assets.myntassets.com/assets/images/4149416/2019/1/24/32e3db18-8563-4259-a9a5-9797e07141291548330809790-Mast--Harbour-Men-White-Striped-Polo-Collar-T-shirt-40915483-5.jpg?im=Crop,rect=(778,1311,151,115)|https://assets.myntassets.com/assets/images/4149416/2019/1/24/32e3db18-8563-4259-a9a5-9797e07141291548330809790-Mast--Harbour-Men-White-Striped-Polo-Collar-T-shirt-40915483-5.jpg?im=Crop,rect=(594,706,292,605)|https://assets.myntassets.com/assets/images/4149416/2019/1/24/32e3db18-8563-4259-a9a5-9797e07141291548330809790-Mast--Harbour-Men-White-Striped-Polo-Collar-T-shirt-40915483-5.jpg?im=Crop,rect=(670,58,140,43)|https://assets.myntassets.com/assets/images/4149416/2019/1/24/32e3db18-8563-4259-a9a5-9797e07141291548330809790-Mast--Harbour-Men-White-Striped-Polo-Collar-T-shirt-40915483-5.jpg?im=Crop,rect=(519,159,410,547)|https://assets.myntassets.com/assets/images/4149416/2019/1/24/32e3db18-8563-4259-a9a5-9797e07141291548330809790-Mast--Harbour-Men-White-Striped-Polo-Collar-T-shirt-40915483-5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/17681826/2022/3/30/cd81bbf6-fd06-4950-af37-a6ba70b46bd31648613996823DollarSocksMenPackOf3AssortedCottonAnkle-LengthSocks1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18341502/2022/6/4/5200a7a2-3744-4c74-a573-43bb5e8b34e91654343153755ZEVORAMenBrownTexturedPUBelt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/17231142/2022/2/21/6df598ee-c929-4d20-b256-cd36e3489a4e1645438838996TrackPants1.jpg","Product Details White striped T-shirt, has a polo collar, short sleevesSize & FitThe model (height 6') is wearing a size MMaterial & CareCottonMachine-washSpecificationsFabricCottonFitRegular FitLengthRegularMain TrendNew BasicsMultipack SetSingleNeckPolo CollarOccasionCasualPatternStripedSee More",4.2|2.9k Ratings,In Stock,S | M | L | XL,Regular Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/tshirts/mast+%26+harbour/mast--harbour-men-white-striped-polo-collar-t-shirt/4149416/buy
28138202,Polo Collar Lounge Tshirts,Lux Cozi,361,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138184/2024/8/14/d1a80f28-27d5-49b7-8b6a-eb044238611d1723609035945-Lux-Cozi-Polo-Collar-Lounge-Tshirts-7821723609035442-2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138192/2024/8/14/819bd1c1-7719-4962-af21-d84247723f5e1723609056342-Lux-Cozi-Polo-Collar-Lounge-Tshirts-2241723609055676-2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138196/2024/8/14/56a89110-01a2-484f-b338-716eb1eb748c1723609066917-Lux-Cozi-Polo-Collar-Lounge-Tshirts-4371723609066293-2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138200/2024/8/14/02d73961-eb5d-4fba-94b6-918f434108931723609077112-Lux-Cozi-Polo-Collar-Lounge-Tshirts-4261723609076603-2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138206/2024/8/14/b9c956cf-4601-4a5a-98c7-032b79ba39ea1723609086760-Lux-Cozi-Polo-Collar-Lounge-Tshirts-3221723609086200-2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138208/2024/8/14/b3149348-0d51-4793-b77e-45f7c24a0fe91723609092239-Lux-Cozi-Polo-Collar-Lounge-Tshirts-6711723609091713-2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138210/2024/8/14/ab2590c2-2c43-4326-9f4f-1284d18ad4f61723609097856-Lux-Cozi-Polo-Collar-Lounge-Tshirts-6611723609097226-2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28138222/2024/8/14/63f748f7-63ed-4a16-9063-2d784f2b3cba1723609125885-Lux-Cozi-Polo-Collar-Lounge-Tshirts-211723609125274-2.jpg",Product Details Navy Blue lounge T-shirt for MenSolidRegular LengthShort SleevesSpread collar necklineKnitted cotton blendSlip-on closureSize & FitRegular FitThe model (height 6') is wearing size MMaterial & CareCotton BlendMachine WashSpecificationsFabricCotton BlendNeckPolo CollarPatternSolidSleeve LengthShort SleevesSustainableRegularTypeRegularWash CareMachine Wash,4.2|686 Ratings,In Stock,S | M | L | XL | XXL,Regular Fit,Cotton,Men T-Shirts 1,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138202/buy
